Published Date,Outlet,Headline,Contextual Snippet,URL
2/27/2025,Tööstusuudised,ST Solina uue tootmishoone turvalahendus muudab tehase töö sujuvaks ja hoiab kokku aega ning raha,"Solina tootmishoone on arendanud Kapitel. Kapitel Logistics juhatuse liige Holger Tilk märgib, et uue tootmiskompleksi arendus on märgiline mitmel põhjusel.

“Esiteks on tegemist rahvusvahelise kontserni suurinvesteeringuga Eesti tööstussektorisse po...",https://www.toostusuudised.ee/sisuturundus/2025/02/27/solina-uue-tootmishoone-turvalahendus-muudab-tehase-too-sujuvaks-ja-hoiab-kokku-aega-ning-raha
2/21/2025,Tööstusuudised.ee,Solina maitseainesegude tehas on valmis,"Foto: Kapitel

Uue tehase koguinvesteering ulatub ligi 30 miljoni euroni. Eriliseks teeb ehituse see, et Kapiteli arendatud ja Solinale 20 aastaks üürile antud hoone kvalifitseerus esimese uue kinnisvaraarendusena SEB grupi rohelaenule. Uues kompleks...",http://ct.moreover.com/?a=56075480667&p=1lk&v=1&x=I63se5nuDJj_i-vDh3rVhA
2/20/2025,Kinnisvarauudised.ee,Kapitel sai pea 30-miljonilise tootmiskompleksi valmis,,http://ct.moreover.com/?a=56070296653&p=1lk&v=1&x=vkVn74Igq7tmOrvWaTtgOw
2/20/2025,Ehitaja,Tallinnas Sauel valmis 30-miljoniline tootmiskompleks,"Kapitel arendab ja Eventus Ehitus rajab hoone vastavalt rahvusvahelise rohesertifikaadi BREEAM taseme „Very Good“ nõuetele. Energiatõhus hoone kvalifitseerus esimese uue kinnisvaraarendusena Eestis SEB rohelaenule.

Kapitel arendab Saue vallas, Laagr...",https://www.ehitusuudised.ee/uudised/2025/02/20/sauel-valmis-rohelaenu-toel-30-miljoniline-tootmiskomleks
2/20/2025,Ehitaja,Sauel valmis rohelaenu toel suur moodne tootmishoone,"Kapitel arendab ja Eventus Ehitus rajab hoone vastavalt rahvusvahelise rohesertifikaadi BREEAM taseme „Very Good“ nõuetele. Energiatõhus hoone kvalifitseerus esimese uue kinnisvaraarendusena Eestis SEB rohelaenule.

Kapitel arendab Saue vallas, Laagr...",https://www.ehitusuudised.ee/uudised/2025/02/20/sauel-valmis-rohelaenu-toel-suur-moodne-tootmishoone
2/12/2025,Adaur.ee - Uudiste arhiiv,Merko: Construction contract in Estonia (Tallinn Hobby Centre Kullo),"...complex, Tallinn) On 8 February 2021, AS Merko Ehitus Eesti, part of AS Merko Ehitus group, and OÜ Tiigiveski Arendus, part of AS Kapitel group, h

05.08.2021 Merko Ehitus: 2021 6 months and II quarter consolidated unaudited interim report

Second-qu...",https://www.adaur.ee/merko-construction-contract-in-estonia-tallinn-hobby-centre-kullo/
