Published Date,Outlet,Headline,Contextual Snippet,URL
2/20/2025,LNK TV,Prezidento patarėja: su Zelenskiu susijęs JAV prezidento pareiškimas nėra gera žinia,"Paprastai tai užtrunka apie du mėnesius ar netgi daugiau“, – teigė „Eika Development“ Projektavimo valdymo skyriaus vadovė Inga Baranovka.

Statyba – vienas iš trijų sektorių, kuris atneša daugiausia investicijų, darbuotojų atlyginimų ir mokesčių. St...",http://ct.moreover.com/?a=56068334185&p=1lk&v=1&x=jFw51dJyuUd757WySKxfqw
2/19/2025,Naujienugidas,"Griūvantis daugiabutis sostinėje: ginčai tęsiasi metus, nesutarimai persikėlė į teismą","Vilniaus Aludarių gatvėje stovinčio daugiabučio gyventojai ir nekilnojamojo turto plėtros įmonė „EIKA Development“ iki šiol neišsiaiškino, kas kaltas dėl byrėti pradėjusio šimtamečio namo. Ginčai dėl daugiabutyje atsiradusių trūkių trunka daugiau nei",https://www.naujienugidas.lt/griuvantis-daugiabutis-sostineje-gincai-tesiasi-metus-nesutarimai-persikele-i-teisma-143610.html
2/19/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),"Griūvantis daugiabutis sostinėje: ginčai tęsiasi metus, nesutarimai persikėlė į teismą","Bendrovė situacijos nekomentuoja

Daugiau nei 40 metų ketvirtajame namo aukšte gyvenantis Vladas mano, kad statytojas „EIKA Development“ turėtų prisiimti atsakomybę už daugiabučiui padarytą žalą.

„EIKA“ atsirado, atsirado, va, koks plyšys. Pikčiausi...",https://www.lrt.lt/naujienos/verslas/4/2490205/griuvantis-daugiabutis-sostineje-gincai-tesiasi-metus-nesutarimai-persikele-i-teisma
2/19/2025,Naujienugidas,Bankas skolina 7 mln. eurų naujo daugiabučių kvartalo statymui Pašilaičiuose,"Nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“ susitarė su banku „Bigbank“ dėl 7 mln. Eur siekiančio finansavimo, skirto gyvenamojo NT projekto „Medeinos namai“ Vilniuje vystymui, rašoma „Bigbank“ pranešime žiniasklaidai. Iš viso, š...",https://www.naujienugidas.lt/bankas-skolina-7-mln-euru-naujo-daugiabuciu-kvartalo-statymui-pasilaiciuose-143249.html
2/19/2025,Madeinvilnius - Antakalnis,Bankas skolina 7 mln. eurų naujo daugiabučių kvartalo statymui Pašilaičiuose,"aktyvių klientų ir daugiau nei 500 darbuotojų. Bankas Lietuvoje teikia būsto, verslo, vartojimo paskolų, indėlių ir kitas paslaugas fiziniams bei juridiniams asmenims.

„EIKA Development“ – EIKA grupės dukterinė įmonė, perėmusi visą nekilnojamojo tur...",https://madeinvilnius.lt/verslas/statybos-vilniuje/bankas-skolina-7-mln-euru-naujo-daugiabuciu-kvartalo-statymui-pasilaiciuose/
2/18/2025,Naujienugidas,Bankas „Bigbank“ suteikia 7 mln. Eur finansavimą NT projektui Pašilaičiuose,"Nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“ susitarė su banku „Bigbank“ dėl 7 mln. Eur siekiančio finansavimo, skirto gyvenamojo NT projekto „Medeinos namai“ Vilniuje vystymui, rašoma „Bigbank“ pranešime žiniasklaidai.

Iš viso, ",https://www.naujienugidas.lt/bankas-bigbank-suteikia-7-mln-eur-finansavima-nt-projektui-pasilaiciuose-142961.html
2/18/2025,Verslo Idėjos ,Bankas „Bigbank“ suteikia 7 mln. Eur finansavimą NT projektui Pašilaičiuose,"aktyvių klientų ir daugiau nei 500 darbuotojų. Bankas Lietuvoje teikia būsto, verslo, vartojimo paskolų, indėlių ir kitas paslaugas fiziniams bei juridiniams asmenims.

„EIKA Development“ – EIKA grupės dukterinė įmonė, perėmusi visą nekilnojamojo tur...",https://versloidejos.lt/nekilnojamasis-turtas-nt-naujienos/bankas-bigbank-suteikia-7-mln-eur-finansavima-nt-projektui-pasilaiciuose/
2/18/2025,Naujienugidas,„Bigbank“ skolina 7 mln. eurų „Eika Development“ būsto projektui Vilniuje,"Estijos kapitalo bankas „Bigbank“ skolina 7 mln. eurų grupės „Eika“ valdomos nekilnojamojo turto (NT) bendrovės „Eika Development“ vystomo 20 mln. eurų būsto komplekso „Medeinos namai“ plėtrai Vilniuje, antradienį pranešė bankas.",https://www.naujienugidas.lt/bigbank-skolina-7-mln-euru-eika-development-busto-projektui-vilniuje-142902.html
2/18/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),„Bigbank“ skolina 7 mln. eurų „Eika Development“ būsto projektui Vilniuje,"eurų grupės „Eika“ valdomos nekilnojamojo turto (NT) bendrovės „Eika Development“ vystomo 20 mln. eurų būsto komplekso „Medeinos namai“ plėtrai Vilniuje, antradienį pranešė bankas.

„Esame finansavę kitus šios įmonės projektus, tai – patikimi partner...",https://www.lrt.lt/naujienos/verslas/4/2491179/bigbank-skolina-7-mln-euru-eika-development-busto-projektui-vilniuje
2/18/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),Griūvantis daugiabutis Vilniuje: gyventojai kaltina šalia vykstančias statybas,"Statybos vyko pagal projekto, kuriam išduotas statybą leidžiantis dokumentas, sprendinius“, – komentuoja Teritorijų planavimo ir statybos inspekcijos direktorė Irina Tūzienė.

Naująjį namą stato „EIKA Development“. Įmonės atstovų teigimu, ekspertizė ",http://ct.moreover.com/?a=56052376422&p=1lk&v=1&x=3YR97ZqCo06aKRIi3Fk7kw
