Published Date,Outlet,Headline,Contextual Snippet,URL
2/11/2025,TV3 Lithuania,"Rinkos dalyviai: Rūdninkų konkurso išskaidymas – logiškas, bet pigiau gali nepavykti","...darbų kainą.

Tai, jog dalyvaus konkurse, BNS Plius patvirtino penkios nekilnojamojo turto

(NT) plėtros bei statybų įmonės: „Eika“, „YIT Lietuva“, „Hanner“, „Conresta Group“, „Infes“.

Dar dviejų įmonių – „Darnu group“ bei „Merko statybos“ – atstova...",https://www.tv3.lt/naujiena/lietuva/rinkos-dalyviai-rudninku-konkurso-isskaidymas-logiskas-bet-pigiau-gali-nepavykti-n1396826
2/10/2025,Statyba ir architektūra,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl verta gamyklą iškelti iš miesto centro?","Miesto erdvės grąžinamos miestiečiams

Kalbėdamas apie Vilnių, NT projektų valdymo įmonės „EIKA Development“ vadovas Martynas Žibūda tikina, kad miestų centrai bei jų aplinkinės teritorijos labai patrauklios ir dėl savo vietos, ir dėl išvystytos infr...",https://sa.lt/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-verta-gamykla-iskelti-is-miesto-centro/
2/10/2025,Litas.lt,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl verta gamyklą iškelti iš miesto centro?","Pranešimą paskelbė: Irmantas Matilionis, EIKA",https://www.litas.lt/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-verta-gamykla-iskelti-is-miesto-centro/
2/10/2025,Man.lt,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl verta gamyklą iškelti iš miesto centro?","Pranešimą paskelbė: Irmantas Matilionis, EIKA",https://www.man.lt/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-verta-gamykla-iskelti-is-miesto-centro/
2/10/2025,Verslo Idėjos  - Tiekėjai,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl tai gali būti puikus sprendimas?","Reklama

Miesto erdvės grąžinamos miestiečiams

Kalbėdamas apie Vilnių, NT projektų valdymo įmonės „EIKA Development“ vadovas Martynas Žibūda tikina, kad miestų centrai bei jų aplinkinės teritorijos labai patrauklios ir dėl savo vietos, ir dėl išvyst...",https://versloidejos.lt/verslo-naujienos-is-lietuvos-ir-pasaulio/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-tai-gali-buti-puikus-sprendimas/
2/10/2025,TV3 Lithuania,"Verslumo šou „Rykliai. Lietuva“ – per dideli dalyvių lūkesčiai: „Jūs, vaikinai, šiai dienai neverti milijono“","Kaip įprasta, dalyvių verslo idėjų klausysis penki „rykliai“: multimilijoninio startuolio „CUJO AI“ įkūrėjas Einaras Gravrock, advokatų bendrijos „Walless“ vadovė Dovilė Burgienė, „Eika“ įkūrėjas ir valdybos pirmininkas Robertas Dargis, „East West Ag...",http://ct.moreover.com/?a=55987736917&p=1lk&v=1&x=bP-9c7FfW8S5x9ys0nloHQ
2/10/2025,TV3 Lithuania,"Verslumo šou „Rykliai. Lietuva“ – per dideli dalyvių lūkesčiai: „Jūs, vaikinai, šiai dienai neverti milijono“","Kaip įprasta, dalyvių verslo idėjų klausysis penki „rykliai“ : multimilijoninio startuolio „CUJO AI“ įkūrėjas Einaras Gravrock, advokatų bendrijos „Walless“ vadovė Dovilė Burgienė, „Eika“ įkūrėjas ir valdybos pirmininkas Robertas Dargis, „East West A...",https://www.tv3.lt/naujiena/zmones/verslumo-sou-rykliai-lietuva-per-dideli-dalyviu-lukesciai-jus-vaikinai-siai-dienai-neverti-milijono-n1396675
2/10/2025,15min.lt,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl verta gamyklą iškelti iš miesto centro?","...priemiesčius ar net toliau, užleisdamos vietą miestiečių poreikiams ir tuo pačiu – spręsdamos įvairias taršos problemas, rašoma „EIKA Development“ pranešime žiniasklaidai....",https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-verta-gamykla-iskelti-is-miesto-centro-971-2391960
2/10/2025,BNS Spaudos centras,"Vietoj fabriko – biuras, vietoj sostinės – Ukmergės rajonas: kodėl verta gamyklą iškelti iš miesto centro?","Pranešimą paskelbė: Irmantas Matilionis, EIKA

„BNS Spaudos centre“ skelbiami įvairių organizacijų pranešimai žiniasklaidai. Už pranešimų turinį atsako juos paskelbę asmenys bei jų atstovaujamos organizacijos.",https://sc.bns.lt/view/item/vietoj-fabriko-biuras-vietoj-sostines-ukmerges-rajonas-kodel-verta-gamykla-iskelti-is-miesto-centro-501059
2/7/2025,Verslo žinios,Verslas ruošiasi pokyčiams: didina biudžetą ir plečia žmogiškuosius išteklius,"...svarbios ir valstybės bei ES finansavimo programos, kurios galėtų didinti informuotumą apie tvarumo finansavimo priemones.

„EIKA“ grupės tvarumo ir inovacijų vadovė Jorūnė Juodžbalytė.

„Norint, kad tvarumo principai būtų vertinami kaip strateginis ...",http://ct.moreover.com/?a=55963516099&p=1lk&v=1&x=Mawp1VfWt-fjG8EntyzuVA
2/6/2025,Delfi Lietuva,Verslas ruošiasi esminiams pokyčiams: tam plečia žmogiškuosius išteklius ir didina biudžetą,"Judickienė.

Didėja žmogiškųjų išteklių poreikis

Pasak „EIKA“ grupės tvarumo ir inovacijų vadovės Jorūnės Juodžbalytės, prisitaikant prie naujų ES tvarumo direktyvų, šiuo metu įmonei tenka didinti žmogiškųjų išteklių ir finansinius resursus. Grupės ",https://www.delfi.lt/verslo-poziuris/verslas-pranesa/verslas-ruosiasi-esminiams-pokyciams-tam-plecia-zmogiskuosius-isteklius-ir-didina-biudzeta-120084379
2/6/2025,BNS Spaudos centras,Verslas ruošiasi pokyčiams: didina biudžetą ir plečia žmogiškuosius išteklius,"Judickienė.

Didėja žmogiškųjų išteklių poreikis

Pasak EIKA grupės tvarumo ir inovacijų vadovės Jorūnės Juodžbalytės , prisitaikant prie naujų ES tvarumo direktyvų, šiuo metu įmonei tenka didinti žmogiškųjų išteklių ir finansinius resursus. Grupės a...",https://sc.bns.lt/view/item/verslas-ruosiasi-pokyciams-didina-biudzeta-ir-plecia-zmogiskuosius-isteklius-500927
2/4/2025,Jūsų Panevėžys,Vilniuje oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",https://jp.lt/vilniuje-oro-uoste-atidarytas-naujasis-isvykimo-terminalas/
2/4/2025,Lietuvos Nacionalinis Radijas ir Televizija (LRT),Laukimas baigėsi – Vilniuje oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai lapkritį Vilniaus oro uostas",https://www.lrt.lt/naujienos/verslas/4/2476922/laukimas-baigesi-vilniuje-oro-uoste-atidarytas-naujasis-isvykimo-terminalas
2/4/2025,Delfi Lietuva,Pirmieji keleiviai įvertino naująjį Vilniaus oro uosto išvykimo terminalą: geriau nei tame sename grabe,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55940199562&p=1lk&v=1&x=hsvNq3RXcpxh_0ra2RR7Gg
2/4/2025,LNK TV,„Garsų pasaulis“ stabdo Baltarusijos opozicijos „pasų“ gamybą,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55939348570&p=1lk&v=1&x=XTgF-9M8LYi44lQBmgFR0w
2/4/2025,Delfi Lietuva,Vilnius Airport opens new departures terminal,"Real estate developer Eika started the construction of the new departures terminal in July 2023. The terminal's construction and technological solutions are estimated to have cost over EUR 70 million in total.

In November 2024, the LTOU announced an",https://www.delfi.lt/en/business/vilnius-airport-opens-new-departures-terminal-120083858
2/4/2025,LNK TV,"Sukčiai gali per atstumą iš jūsų kortelės „nusiurbti“ pinigus: paaiškino, kaip tai vyksta","keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55938475726&p=1lk&v=1&x=ONpYoNI63STIxRf8GKMxCg
2/4/2025,LNK TV,Ruginienė pasidalino svarstymais dėl pensijinio amžiaus didinimo,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55938475687&p=1lk&v=1&x=6VZZ8Z7wwUgeuE9giYXNtw
2/4/2025,LNK TV,10 Vilniaus oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55938475683&p=1lk&v=1&x=j1LXNTzljOzabeEri_PJEg
2/4/2025,Aina.lt,„EIKA“: gautas statybų leidimas viešbučiui Utenoje,"Gautas leidimas Utenoje statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona, pranešė nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“.

Skelbiama, kad pagal architektūros studijos „Archispektras“ projektą, penkių ",https://aina.lt/eika-gautas-statybu-leidimas-viesbuciui-utenoje/
2/4/2025,TV3 Lithuania,Vilniaus oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto

(NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai ",https://www.tv3.lt/naujiena/verslas/vilniaus-oro-uoste-atidarytas-naujasis-isvykimo-terminalas-n1395399
2/4/2025,Delfi Lietuva,"В Вильнюсском аэропорту открыт новый терминал, стоивший 70 млн. евро","...Планируется, что пропускная способность нового терминала будет в 2 раза больше - 2400 пассажиров в час.

Терминал построила компания Eika. Строительство было начато в июле 2023 года....",https://www.delfi.lt/ru/news/economy/v-vilnyusskom-aeroportu-otkryt-novyy-terminal-stoivshiy-70-mln-evro-120083791
2/4/2025,Delfi Lietuva,Vilniaus oro uoste atidarytas per 70 mln. eurų kainavęs naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55937749167&p=1lk&v=1&x=y3AXTwjDAKBbiukRpKywcQ
2/4/2025,Kupiškėnų mintys - Gamta ir mes,ATIDARYTAS NAUJASIS VILNIAUS ORO UOSTO IŠVYKIMO TERMINALAS,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",https://kmintys.lt/2025/02/04/atidarytas-naujasis-vilniaus-oro-uosto-isvykimo-terminalas/
2/4/2025,Respublika,Vilniaus oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika"" pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55937464917&p=1lk&v=1&x=Qq-KnbcxmSPZQxjz1lm1Pg
2/4/2025,Delfi Lietuva,Vilniaus oro uoste atidarytas naujasis išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",https://www.delfi.lt/verslas/transportas/vilniaus-oro-uoste-atidarytas-naujasis-isvykimo-terminalas-120083757
2/4/2025,Lietuvos rytas,Neeilinė diena: pradėjo veikti naujasis Vilniaus oro uosto išvykimo terminalas – pirmieji keleiviai jau išskrido,asmenų.Naujojo Vilniaus oro uosto išvykimo terminalo statybas bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų. 5 tūkst. kv. metrų plotą ant pastato stogo dengia saulės m...,http://ct.moreover.com/?a=55937161125&p=1lk&v=1&x=wSq7Ed1BSKZfwsQCvTzhYA
2/4/2025,Lietuvos rytas,Neelinė diena: pradėjo veikti naujasis Vilniaus oro uosto išvykimo terminalas – pirmieji keleiviai jau išskrido,"asmenų.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų. 5 tūkst. kv. metrų plotą ant pastato stogo dengia saulės",https://www.lrytas.lt/verslas/rinkos-pulsas/2025/02/04/news/neeline-diena-pradejo-veikti-naujasis-vilniaus-oro-uosto-isvykimo-terminalas-pirmieji-keleiviai-jau-isskrido-36315357
2/4/2025,Respublika,Vilniaus oro uoste atidaromas naujas išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55936991684&p=1lk&v=1&x=-IxY4yLszf70vsU646icjw
2/4/2025,Vakarų ekspresas,Vilniaus oro uoste atidaromas naujas išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",https://ve.lt/verslas/vilniaus-oro-uoste-atidaromas-naujas-isvykimo-terminalas
2/4/2025,Etaplius.lt,Vilniaus oro uoste atidaromas naujas išvykimo terminalas,"keleivių per valandą.

Naujojo Vilniaus oro uosto išvykimo terminalo statybas nekilnojamojo turto (NT) plėtros bendrovė „Eika“ pradėjo 2023 metų liepą. Visa terminalo statybų ir technologinių sprendimų diegimo kaina siekia per 70 mln. eurų.

Pernai l...",http://ct.moreover.com/?a=55936747721&p=1lk&v=1&x=cUU47TuF_bDeaPemiom5yw
2/3/2025,Lietuvos naujienų agentūra (ELTA),„EIKA“: gautas statybų leidimas viešbučiui Utenoje,,http://ct.moreover.com/?a=55933670974&p=1lk&v=1&x=i7kWEa6d71jiGpmx4jxciA
2/3/2025,Regionų naujienos - Regionai,Gautas statybų leidimas viešbučiui Utenoje,"Gautas leidimas Utenoje statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona, pranešė nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“.

Skelbiama, kad pagal architektūros studijos „Archispektras“ projektą, penkių ",https://www.regionunaujienos.lt/gautas-statybu-leidimas-viesbuciui-utenoje/
2/3/2025,Utenos Diena,"Gautas statybų leidimas viešbučiui Utenoje su restoranu, SPA","...Utenoje, pabaigė projektavimo valdymo darbus ir gavo statybos leidimą.

Lengvas bendradarbiavimas su Utenos institucijomis

„EIKA Development“ komanda projekte buvo atsakinga už techninio projekto iki statybos leidimo projektavimo valdymą. Martynas Ž...",http://ct.moreover.com/?a=55931112120&p=1lk&v=1&x=K0HKTY3epWMNm8NGBSjkQg
2/3/2025,Etaplius.lt,Gautas statybų leidimas naujam viešbučiui: džiaugiasi sklandžiu bendradarbiavimu su Utenos institucijomis,"...šiuo metu pabaigė projektavimo valdymo darbus bei gavo statybų leidimą.

Lengvas bendradarbiavimas su Utenos institucijomis

„EIKA Development“ komanda projekte buvo atsakinga už techninio projekto iki statybos leidimo projektavimo valdymą. Martynas ...",http://ct.moreover.com/?a=55929744849&p=1lk&v=1&x=R3NZSv-k5U8ye8OjBmFlgA
2/3/2025,Naujienugidas,Gautas statybų leidimas naujam viešbučiui: kas užtikrino sėkmingą bendradarbiavimą su Utenos institucijomis?,"Nekilnojamojo turto projektų valdymo bendrovė bendrovė „EIKA Development“, birželį paskelbusi apie planus bendrovės „Translinija“ užsakymu statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona Utenoje, šiuo metu pabaigė projektavim...",https://www.naujienugidas.lt/gautas-statybu-leidimas-naujam-viesbuciui-kas-uztikrino-sekminga-bendradarbiavima-su-utenos-instituc-135497.html
2/3/2025,TV3 Lithuania,Nuo šašlykų iki tamsoje šviečiančio meno: verslumo šou „Rykliai. Lietuva“ laukia sunkūs pasirinkimai,"TAIP PAT SKAITYKITE:

Kaip įprasta, dalyvių verslo idėjų klausysis penki „rykliai“ : multimilijoninio startuolio „CUJO AI“ įkūrėjas Einaras Gravrock, advokatų bendrijos „Walless“ vadovė Dovilė Burgienė, „Eika“ įkūrėjas ir valdybos pirmininkas Roberta...",https://www.tv3.lt/naujiena/zmones/nuo-saslyku-iki-tamsoje-svieciancio-meno-verslumo-sou-rykliai-lietuva-laukia-sunkus-pasirinkimai-n1395157
2/3/2025,Verslo Idėjos ,Gautas statybų leidimas naujam viešbučiui: kas užtikrino sėkmingą bendradarbiavimą su Utenos institucijomis?,"...pabaigė projektavimo valdymo darbus bei gavo statybų leidimą.

Reklama

Lengvas bendradarbiavimas su Utenos institucijomis

„EIKA Development“ komanda projekte buvo atsakinga už techninio projekto iki statybos leidimo projektavimo valdymą. Martynas Ž...",https://versloidejos.lt/nekilnojamasis-turtas-nt-naujienos/gautas-statybu-leidimas-naujam-viesbuciui-kas-uztikrino-sekminga-bendradarbiavima-su-utenos-institucijomis/
2/3/2025,Lietuvos rytas,"Utenoje leido pradėti statybas: štai ką suplanavo projekte, į kurį įtraukė ir istorinį pastatą","Gautas leidimas Utenoje statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona, pranešė nekilnojamojo turto projektų valdymo bendrovė „EIKA Development“.Skelbiama, kad pagal architektūros studijos „Archispektras“ projektą, penkių au...",http://ct.moreover.com/?a=55929204309&p=1lk&v=1&x=avIfQrjC1-_FtzWZ9zcIZg
2/3/2025,Statyba ir architektūra,Utenoje tarpukario architektų suprojektuotas pastatas virs į viešbutį su SPA,"Utenoje tarpukario architektų suprojektuotas pastatas virs į viešbutį su SPA

„Archispektras“ vizualizacija

Nekilnojamojo turto projektų valdymo bendrovė bendrovė „EIKA Development“, birželį paskelbusi apie planus bendrovės „Translinija“ užsakymu st...",https://sa.lt/utenoje-tarpukario-architektu-suprojektuotas-pastatas-virs-i-viesbuti-su-spa/
2/3/2025,Statybunaujienos.lt,Gautas statybų leidimas naujam viešbučiui Utenoje,"...šiuo metu pabaigė projektavimo valdymo darbus bei gavo statybų leidimą.

Lengvas bendradarbiavimas su Utenos institucijomis

„EIKA Development"" komanda projekte buvo atsakinga už techninio projekto iki statybos leidimo projektavimo valdymą. Martynas ...",https://www.statybunaujienos.lt/naujiena/Gautas-statybu-leidimas-naujam-viesbuciui-Utenoje/23764
2/3/2025,15min.lt,Gautas statybų leidimas naujam viešbučiui: įsikurs istoriniame buvusio banko pastate,"Nekilnojamojo turto projektų valdymo bendrovė bendrovė „EIKA Development“, birželį paskelbusi apie planus bendrovės „Translinija“ užsakymu statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona Utenoje, šiuo metu pabaigė projektavim...",https://www.15min.lt/verslas/naujiena/nt-ir-interjeras/gautas-statybu-leidimas-naujam-viesbuciui-isikurs-istoriniame-buvusio-banko-pastate-971-2387596
2/3/2025,BNS Spaudos centras,Gautas statybų leidimas naujam viešbučiui: džiaugiasi sklandžiu bendradarbiavimu su Utenos institucijomis,"...šiuo metu pabaigė projektavimo valdymo darbus bei gavo statybų leidimą.

Lengvas bendradarbiavimas su Utenos institucijomis

„EIKA Development“ komanda projekte buvo atsakinga už techninio projekto iki statybos leidimo projektavimo valdymą. Martynas ...",https://sc.bns.lt/view/item/gautas-statybu-leidimas-naujam-viesbuciui-dziaugiasi-sklandziu-bendradarbiavimu-su-utenos-institucijomis-500672
2/3/2025,15min.lt,Gautas statybų leidimas naujam viešbučiui: džiaugiasi sklandžiu bendradarbiavimu su Utenos institucijomis,"Nekilnojamojo turto projektų valdymo bendrovė bendrovė „EIKA Development“, birželį paskelbusi apie planus bendrovės „Translinija“ užsakymu statyti viešbutį su restoranu, konferencijų centru bei nedidele SPA zona Utenoje, šiuo metu pabaigė projektavim...",https://www.15min.lt/verslas/naujiena/bns-spaudos-centras/gautas-statybu-leidimas-naujam-viesbuciui-dziaugiasi-sklandziu-bendradarbiavimu-su-utenos-institucijomis-500672
2/2/2025,Naujienugidas,Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Nekilnojamojo turto plėtros bendrovės „EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilniuj...",https://www.naujienugidas.lt/vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai-135084.html
2/2/2025,Naujienugidas,„EIKA“ plės „Jasinskio“ verslo centrą,"projekto išlaidų. Tai bus pirmas „EIKA“ grupės ir EBRD bendradarbiavimo projektas. „Tai yra neeilinis įvykis „EIKA“ grupei, kuri pirmą kartą pritraukė Europos […]

The post „EIKA“ plės „Jasinskio“ verslo centrą appeared first on MadeinVilnius.lt

„EI...",https://www.naujienugidas.lt/eika-ples-jasinskio-verslo-centra-135148.html
2/2/2025,Madeinvilnius - Vilniaus rinka,„EIKA“ plės „Jasinskio“ verslo centrą,"eurų paskolą „ EIKA “ grupės plėtojamam „Jasinskio 2“ verslo centrui.

Kaip numato pasirašyta sutartis, EBRD finansuos 60 proc. projekto išlaidų. Tai bus pirmas „EIKA“ grupės ir EBRD bendradarbiavimo projektas.

„Tai yra neeilinis įvykis „EIKA“ grupe...",https://madeinvilnius.lt/verslas/vilniaus-rinka/eika-ples-jasinskio-verslo-centra/
2/2/2025,Madeinvilnius - Nekilnojamas turtas,Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Nekilnojamojo turto plėtros bendrovės „ EIKA Development“ duomenimis, vien per sausio mėnesį rinkai pasiūlyti 1117 naujų butų, daugiau nei per visą

pirmą praėjusių metų ketvirtį ir tai lėmė nuo 2021 metų pavasario neregėtus pardavimus- iš viso Vilni...",https://madeinvilnius.lt/verslas/nekilnojamas-turtas/vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai/
2/1/2025,Litas.lt,„EIKA Development“: Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Mes savo ruožtu irgi darome viską, kad turėtume ką pasiūlyti visiems pirkėjams pagal skirtingus jų poreikius“, – sakė „EIKA Development“ plėtros direktorius Tomas Žiaugra.

Pranešimą paskelbė: Irmantas Matilionis, EIKA",https://www.litas.lt/eika-development-vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai/
2/1/2025,Man.lt,„EIKA Development“: Vilniaus nekilnojamojo turto rinkoje sausį – rekordiniai pardavimai,"Mes savo ruožtu irgi darome viską, kad turėtume ką pasiūlyti visiems pirkėjams pagal skirtingus jų poreikius“, – sakė „EIKA Development“ plėtros direktorius Tomas Žiaugra.

Pranešimą paskelbė: Irmantas Matilionis, EIKA",https://www.man.lt/eika-development-vilniaus-nekilnojamojo-turto-rinkoje-sausi-rekordiniai-pardavimai/
